ts,tid,pid,cbid,dur,cat,ph,name,correlation,External id
6928969541315.154,4097061,4097061,211,38.588,cuda_runtime,X,cudaLaunchKernel,11766,2054
6928969542002.096,4097251,4097061,211,44.715,cuda_runtime,X,cudaLaunchKernel,11792,2574
6928969542126.189,4097251,4097061,200,3.222,cuda_runtime,X,cudaDeviceGetAttribute,11808,2570
6928969542148.699,4097251,4097061,211,12.321,cuda_runtime,X,cudaLaunchKernel,11811,2570
6928969542231.365,4097251,4097061,211,10.354,cuda_runtime,X,cudaLaunchKernel,11829,2582
6928969542269.726,4097251,4097061,211,9.591,cuda_runtime,X,cudaLaunchKernel,11842,2578
6928969542333.16,4097251,4097061,211,11.575,cuda_runtime,X,cudaLaunchKernel,11855,2586
6928969542599.612,4097251,4097061,211,16.026,cuda_runtime,X,cudaLaunchKernel,11885,2610
6928969542672.719,4097251,4097061,211,10.645,cuda_runtime,X,cudaLaunchKernel,11899,2613
6928969542794.561,4097251,4097061,135,4.944,cuda_runtime,X,cudaEventRecord,11935,2618
6928969542800.074,4097251,4097061,317,1.383,cuda_runtime,X,cudaStreamIsCapturing,11936,2618
6928969542801.918,4097251,4097061,203,1.186,cuda_runtime,X,cudaStreamGetPriority,11937,2618
6928969542803.527,4097251,4097061,205,1.032,cuda_runtime,X,cudaDeviceGetStreamPriorityRange,11938,2618
6928969542840.391,4097251,4097061,273,3.563,cuda_runtime,X,cudaFuncSetAttribute,11946,2618
6928969542845.286,4097251,4097061,211,12.355,cuda_runtime,X,cudaLaunchKernel,11947,2618
6928969542997.612,4097251,4097061,135,2.732,cuda_runtime,X,cudaEventRecord,11971,2634
6928969543001.016,4097251,4097061,317,1.01,cuda_runtime,X,cudaStreamIsCapturing,11972,2634
6928969543002.429,4097251,4097061,203,0.779,cuda_runtime,X,cudaStreamGetPriority,11973,2634
6928969543003.563,4097251,4097061,205,0.773,cuda_runtime,X,cudaDeviceGetStreamPriorityRange,11974,2634
6928969543036.065,4097251,4097061,211,13.394,cuda_runtime,X,cudaLaunchKernel,11978,2634
6928969543052.278,4097251,4097061,211,7.897,cuda_runtime,X,cudaLaunchKernel,11980,2634
6928969543069.363,4097251,4097061,11,0.368,cuda_runtime,X,cudaPeekAtLastError,11982,2634
6928969543072.083,4097251,4097061,51,14.627,cuda_runtime,X,cudaMemsetAsync,11983,2634
6928969543089.209,4097251,4097061,273,3.438,cuda_runtime,X,cudaFuncSetAttribute,11984,2634
6928969543092.865,4097251,4097061,273,0.758,cuda_runtime,X,cudaFuncSetAttribute,11985,2634
6928969543094.201,4097251,4097061,430,10.474,cuda_runtime,X,cudaLaunchKernelExC,11986,2634
6928969543105.938,4097251,4097061,11,0.181,cuda_runtime,X,cudaPeekAtLastError,11988,2634
6928969543110.18,4097251,4097061,211,7.506,cuda_runtime,X,cudaLaunchKernel,11989,2634
6928969543145.832,4097251,4097061,135,2.385,cuda_runtime,X,cudaEventRecord,12002,2634
6928969543148.533,4097251,4097061,317,0.747,cuda_runtime,X,cudaStreamIsCapturing,12003,2634
6928969543149.666,4097251,4097061,203,0.636,cuda_runtime,X,cudaStreamGetPriority,12004,2634
6928969543150.618,4097251,4097061,205,0.591,cuda_runtime,X,cudaDeviceGetStreamPriorityRange,12005,2634
6928969543165.55,4097251,4097061,211,8.095,cuda_runtime,X,cudaLaunchKernel,12009,2634
6928969543175.957,4097251,4097061,211,6.533,cuda_runtime,X,cudaLaunchKernel,12011,2634
6928969543187.522,4097251,4097061,11,0.182,cuda_runtime,X,cudaPeekAtLastError,12013,2634
6928969543191.346,4097251,4097061,430,8.279,cuda_runtime,X,cudaLaunchKernelExC,12014,2634
6928969543200.612,4097251,4097061,11,0.148,cuda_runtime,X,cudaPeekAtLastError,12016,2634
6928969543202.83,4097251,4097061,211,6.956,cuda_runtime,X,cudaLaunchKernel,12017,2634
6928969543309.638,4097251,4097061,211,12.037,cuda_runtime,X,cudaLaunchKernel,12037,2643
6928969543402.251,4097251,4097061,135,2.601,cuda_runtime,X,cudaEventRecord,12069,2646
6928969543405.228,4097251,4097061,317,0.87,cuda_runtime,X,cudaStreamIsCapturing,12070,2646
6928969543406.463,4097251,4097061,203,0.724,cuda_runtime,X,cudaStreamGetPriority,12071,2646
6928969543407.473,4097251,4097061,205,0.754,cuda_runtime,X,cudaDeviceGetStreamPriorityRange,12072,2646
6928969543434.218,4097251,4097061,273,2.278,cuda_runtime,X,cudaFuncSetAttribute,12080,2646
6928969543437.558,4097251,4097061,211,12.404,cuda_runtime,X,cudaLaunchKernel,12081,2646
6928969543569.49,4097251,4097061,135,2.335,cuda_runtime,X,cudaEventRecord,12105,2662
6928969543572.203,4097251,4097061,317,0.752,cuda_runtime,X,cudaStreamIsCapturing,12106,2662
6928969543573.295,4097251,4097061,203,0.679,cuda_runtime,X,cudaStreamGetPriority,12107,2662
6928969543574.248,4097251,4097061,205,0.684,cuda_runtime,X,cudaDeviceGetStreamPriorityRange,12108,2662
6928969543592.609,4097251,4097061,211,10.75,cuda_runtime,X,cudaLaunchKernel,12112,2662
6928969543606.313,4097251,4097061,211,6.708,cuda_runtime,X,cudaLaunchKernel,12114,2662
6928969543617.81,4097251,4097061,11,0.265,cuda_runtime,X,cudaPeekAtLastError,12116,2662
6928969543619.614,4097251,4097061,51,10.326,cuda_runtime,X,cudaMemsetAsync,12117,2662
6928969543631.291,4097251,4097061,273,1.806,cuda_runtime,X,cudaFuncSetAttribute,12118,2662
6928969543633.341,4097251,4097061,273,0.669,cuda_runtime,X,cudaFuncSetAttribute,12119,2662
6928969543634.602,4097251,4097061,430,9.412,cuda_runtime,X,cudaLaunchKernelExC,12120,2662
6928969543645.161,4097251,4097061,11,0.342,cuda_runtime,X,cudaPeekAtLastError,12122,2662
6928969543648.025,4097251,4097061,211,7.435,cuda_runtime,X,cudaLaunchKernel,12123,2662
6928969543681.026,4097251,4097061,135,2.081,cuda_runtime,X,cudaEventRecord,12136,2662
6928969543683.406,4097251,4097061,317,0.63,cuda_runtime,X,cudaStreamIsCapturing,12137,2662
6928969543684.31,4097251,4097061,203,0.641,cuda_runtime,X,cudaStreamGetPriority,12138,2662
6928969543685.202,4097251,4097061,205,0.652,cuda_runtime,X,cudaDeviceGetStreamPriorityRange,12139,2662
6928969543696.652,4097251,4097061,211,8.323,cuda_runtime,X,cudaLaunchKernel,12143,2662
6928969543706.998,4097251,4097061,211,6.776,cuda_runtime,X,cudaLaunchKernel,12145,2662
6928969543717.222,4097251,4097061,11,0.165,cuda_runtime,X,cudaPeekAtLastError,12147,2662
6928969543718.988,4097251,4097061,430,7.619,cuda_runtime,X,cudaLaunchKernelExC,12148,2662
6928969543727.519,4097251,4097061,11,0.149,cuda_runtime,X,cudaPeekAtLastError,12150,2662
6928969543729.32,4097251,4097061,211,6.926,cuda_runtime,X,cudaLaunchKernel,12151,2662
6928969543775.964,4097251,4097061,211,11.226,cuda_runtime,X,cudaLaunchKernel,12160,2665
6928969543867.343,4097251,4097061,211,10.645,cuda_runtime,X,cudaLaunchKernel,12180,2672
6928969543973.227,4097251,4097061,135,2.452,cuda_runtime,X,cudaEventRecord,12216,2677
6928969543976.02,4097251,4097061,317,0.799,cuda_runtime,X,cudaStreamIsCapturing,12217,2677
6928969543977.187,4097251,4097061,203,0.784,cuda_runtime,X,cudaStreamGetPriority,12218,2677
6928969543978.282,4097251,4097061,205,0.712,cuda_runtime,X,cudaDeviceGetStreamPriorityRange,12219,2677
6928969544004.563,4097251,4097061,273,2.132,cuda_runtime,X,cudaFuncSetAttribute,12227,2677
6928969544007.808,4097251,4097061,211,10.831,cuda_runtime,X,cudaLaunchKernel,12228,2677
6928969544135.86,4097251,4097061,135,2.208,cuda_runtime,X,cudaEventRecord,12252,2693
6928969544138.419,4097251,4097061,317,0.727,cuda_runtime,X,cudaStreamIsCapturing,12253,2693
